번호,{독일어예문},{한국어해석},{핵심관사}
1,Der Mann ist sehr nett.,그 남자는 매우 친절하다.,Der (남성 1격)
2,Ich sehe den Mann.,나는 그 남자를 본다.,den (남성 4격)
3,Ich helfe dem Mann.,나는 그 남자에게 도움을 준다.,dem (남성 3격)
4,Ein Kind spielt im Garten.,한 아이가 정원에서 놀고 있다.,Ein (중성 1격)
5,Das Buch gehört dem Kind.,그 책은 그 아이에게 속해 있다.,dem (중성 3격)
6,Ich liebe ein Kind.,나는 한 아이를 사랑한다.,ein (중성 4격)
7,Ich brauche einen Schlüssel.,나는 열쇠 하나가 필요하다,einen (남성 4격)
8,Er gibt der Frau eine Blume.,그는 그 여자에게 꽃 한 송이를 준다.,der (여성 3격)
9,Wir besuchen eine Freundin.,우리는 한 여자친구를 방문한다.,eine (여성 4격)
10,Mein Vater arbeitet viel.,나의 아버지는 일을 많이 하신다.,Mein (남성 1격)
11,Ich rufe den Vater an.,나는 그 아버지에게 전화한다.,den (남성 4격/전화하다)
12,Die Mutter kocht Suppe.,그 어머니가 수프를 요리한다.,Die (여성 1격)
13,Er dankt einer Mutter.,그는 한 어머니에게 감사한다.,einer (여성 3격)
14,Der Sohn lernt Deutsch.,그 아들이 독일어를 배운다.,Der (남성 1격)
15,Ich sehe einen Sohn.,나는 한 아들을 본다.,einen (남성 4격)
16,Die Tochter ist klein.,그 딸은 작다.,Die (여성 1격)
17,Er schenkt der Tochter eine Puppe.,그는 그 딸에게 인형을 선물한다.,der (여성 3격)
18,Der Bruder wohnt in Berlin.,그 남자형제는 베를린에 산다.,Der (남성 1격)
19,Hast du einen Bruder?,너는 한 남자형제가 있니?,einen (남성 4격/haben)
20,Ich schreibe dem Bruder einen Brief.,나는 그 남자형제에게 편지를 쓴다.,dem (남성 3격)
21,Der Apfel schmeckt gut.,그 사과는 맛이 좋다.,Der (남성 1격)
22,Ich esse einen Apfel.,나는 사과 하나를 먹는다.,einen (남성 4격)
23,Die Banane ist gelb.,그 바나나는 노란색이다.,Die (여성 1격)
24,Möchten Sie eine Banane?,바나나 하나를 원하시나요?,eine (여성 4격)
25,Das Brot ist frisch.,그 빵은 신선하다.,Das (중성 1격)
26,Ich kaufe ein Brot.,나는 빵 하나를 산다.,ein (중성 4격)
27,Der Käse riecht streng.,그 치즈는 냄새가 강하다.,Der (남성 1격)
28,Er mag den Käse.,그는 그 치즈를 좋아한다.,den (남성 4격)
29,Die Wurst ist salzig.,그 소시지는 짜다.,Die (여성 1격)
30,Ich nehme eine Wurst.,나는 소시지 하나를 고른다.,eine (여성 4격)
31,Der Salat ist gesund.,그 샐러드는 건강에 좋다.,Der (남성 1격)
32,Wir machen einen Salat.,우리는 샐러드 하나를 만든다.,einen (남성 4격)
33,Der Kaffee ist heiß.,그 커피는 뜨겁다.,Der (남성 1격)
34,Ich trinke einen Kaffee.,나는 커피 한 잔을 마신다.,einen (남성 4격)
35,Die Milch ist im Kühlschrank.,그 우유는 냉장고에 있다.,Die (여성 1격)
36,Er trinkt eine Milch.,그는 우유 한 잔을 마신다.,eine (여성 4격)
37,Das Wasser ist kalt.,그 물은 차갑다.,Das (중성 1격)
38,Kann ich ein Wasser haben?,물 한 잔을 마실 수 있을까요?,ein (중성 4격)
39,Der Saft ist süß.,그 주스는 달다.,Der (남성 1격)
40,Sie bestellt einen Saft.,그녀는 주스 한 잔을 주문한다.,einen (남성 4격)
41,Das Haus ist groß.,그 집은 크다.,Das (중성 1격)
42,Wir kaufen ein Haus.,우리는 집 한 채를 산다.,ein (중성 4격)
43,Die Wohnung ist hell.,그 아파트는 밝다.,Die (여성 1격)
44,Ich suche eine Wohnung.,나는 아파트 하나를 찾고 있다.,eine (여성 4격)
45,Der Bahnhof ist dort.,그 기차역은 저기에 있다.,Der (남성 1격)
46,Wir gehen zu dem Bahnhof.,우리는 그 기차역으로 간다.,dem (남성 3격/zu)
47,Die Schule ist geschlossen.,그 학교는 문을 닫았다.,Die (여성 1격)
48,Die Kinder gehen in die Schule.,아이들이 학교에 간다.,die (여성 4격/in)
49,Das Krankenhaus ist weit weg.,그 병원은 멀리 있다.,Das (중성 1격)
50,Er fährt zu einem Krankenhaus.,그는 한 병원으로 간다.,einem (중성 3격/zu)
51,Die Stadt ist alt.,그 도시는 오래되었다.,Die (여성 1격)
52,Ich besuche eine Stadt.,나는 한 도시를 방문한다.,eine (여성 4격)
53,Der Park ist schön.,그 공원은 아름답다.,Der (남성 1격)
54,Wir spazieren in dem Park.,우리는 그 공원에서 산책한다.,dem (남성 3격/in)
55,Der Supermarkt ist teuer.,그 슈퍼마켓은 비싸다.,Der (남성 1격)
56,Ich gehe in einen Supermarkt.,나는 한 슈퍼마켓으로 간다.,einen (남성 4격/in)
57,Die Bäckerei hat Brot.,그 빵집에는 빵이 있다.,Die (여성 1격)
58,Ich finde eine Bäckerei.,나는 한 빵집을 찾는다.,eine (여성 4격)
59,Das Restaurant ist voll.,그 식당은 꽉 찼다.,Das (중성 1격)
60,Wir reservieren einen Tisch.,우리는 식당 하나를 예약한다.,ein (중성 4격)
61,Der Bus kommt spät.,그 버스는 늦게 온다.,Der (남성 1격)
62,Ich nehme den Bus.,나는 그 버스를 탄다.,den (남성 4격)
63,Die U-Bahn ist schnell.,그 지하철은 빠르다.,Die (여성 1격)
64,Wir fahren mit der U-Bahn.,우리는 그 지하철을 타고 간다.,der (여성 3격/mit)
65,Das Auto ist neu.,그 자동차는 새것이다.,Das (중성 1격)
66,Er verkauft ein Auto.,그는 자동차 한 대를 판다.,ein (중성 4격)
67,Das Fahrrad ist kaputt.,그 자전거는 고장 났다.,Das (중성 1격)
68,Ich repariere ein Fahrrad.,나는 자전거 한 대를 수리한다.,ein (중성 4격)
69,Das Handy ist teuer.,그 휴대폰은 비싸다.,Das (중성 1격)
70,Hast du ein Handy?,너 휴대폰이 있니?,ein (중성 4격/haben)
71,Das Buch ist interessant.,그 책은 흥미롭다.,Das (중성 1격)
72,Ich lese ein Buch.,나는 책 한 권을 읽는다.,ein (중성 4격)
73,Der Schlüssel liegt hier.,그 열쇠가 여기 있다.,Der (남성 1격)
74,Ich brauche einen Schlüssel.,나는 열쇠 하나가 필요하다.,einen (남성 4격/brauchen)
75,Die Tasche ist schwer.,그 가방은 무겁다.,Die (여성 1격)
76,Sie trägt eine Tasche.,그녀는 가방 하나를 들고 있다.,eine (여성 4격)
77,Der Computer funktioniert nicht.,그 컴퓨터는 작동하지 않는다.,Der (남성 1격)
78,Er benutzt einen Computer.,그는 컴퓨터 한 대를 사용한다.,einen (남성 4격)
